"","Department","Position","Place.of.Residence","PositionID"
"397","Administrative Services, Department of ","EARLY OUT POSITION","CEDAR",397
"398","Administrative Services, Department of ","EARLY OUT POSITION","CERRO GORDO",398
"399","Administrative Services, Department of ","EARLY OUT POSITION","CHEROKEE",399
"400","Administrative Services, Department of ","EARLY OUT POSITION","CLAY",400
"401","Administrative Services, Department of ","EARLY OUT POSITION","CLAYTON",401
"402","Administrative Services, Department of ","EARLY OUT POSITION","CLINTON",402
"403","Administrative Services, Department of ","EARLY OUT POSITION","CRAWFORD",403
"404","Administrative Services, Department of ","EARLY OUT POSITION","DALLAS",404
"405","Administrative Services, Department of ","EARLY OUT POSITION","DECATUR",405
"406","Administrative Services, Department of ","EARLY OUT POSITION","DELAWARE",406
"407","Administrative Services, Department of ","EARLY OUT POSITION","DES MOINES",407
"408","Administrative Services, Department of ","EARLY OUT POSITION","DICKINSON",408
"409","Administrative Services, Department of ","EARLY OUT POSITION","DUBUQUE",409
"410","Administrative Services, Department of ","EARLY OUT POSITION","EMMET",410
"411","Administrative Services, Department of ","EARLY OUT POSITION","FRANKLIN",411
"412","Administrative Services, Department of ","EARLY OUT POSITION","GREENE",412
"413","Administrative Services, Department of ","EARLY OUT POSITION","GRUNDY",413
"414","Administrative Services, Department of ","EARLY OUT POSITION","GUTHRIE",414
"415","Administrative Services, Department of ","EARLY OUT POSITION","HARDIN",415
"416","Administrative Services, Department of ","EARLY OUT POSITION","HARRISON",416
"417","Administrative Services, Department of ","EARLY OUT POSITION","HENRY",417
"418","Administrative Services, Department of ","EARLY OUT POSITION","IDA",418
"419","Administrative Services, Department of ","EARLY OUT POSITION","IOWA",419
"420","Administrative Services, Department of ","EARLY OUT POSITION","JACKSON",420
"421","Administrative Services, Department of ","EARLY OUT POSITION","JASPER",421
"422","Administrative Services, Department of ","EARLY OUT POSITION","JEFFERSON",422
"423","Administrative Services, Department of ","EARLY OUT POSITION","JOHNSON",423
"424","Administrative Services, Department of ","EARLY OUT POSITION","JONES",424
"425","Administrative Services, Department of ","EARLY OUT POSITION","KOSSUTH",425
"426","Administrative Services, Department of ","EARLY OUT POSITION","LEE",426
"427","Administrative Services, Department of ","EARLY OUT POSITION","LINN",427
"428","Administrative Services, Department of ","EARLY OUT POSITION","LUCAS",428
"429","Administrative Services, Department of ","EARLY OUT POSITION","MADISON",429
"430","Administrative Services, Department of ","EARLY OUT POSITION","MARION",430
"431","Administrative Services, Department of ","EARLY OUT POSITION","MARSHALL",431
"432","Administrative Services, Department of ","EARLY OUT POSITION","MILLS",432
"433","Administrative Services, Department of ","EARLY OUT POSITION","MITCHELL",433
"434","Administrative Services, Department of ","EARLY OUT POSITION","MONROE",434
"435","Administrative Services, Department of ","EARLY OUT POSITION","MONTGOMERY",435
"436","Administrative Services, Department of ","EARLY OUT POSITION","MUSCATINE",436
"437","Administrative Services, Department of ","EARLY OUT POSITION","OBRIEN",437
"438","Administrative Services, Department of ","EARLY OUT POSITION","OSCEOLA",438
"439","Administrative Services, Department of ","EARLY OUT POSITION","PAGE",439
"440","Administrative Services, Department of ","EARLY OUT POSITION","PLYMOUTH",440
"441","Administrative Services, Department of ","EARLY OUT POSITION","POLK",441
"442","Administrative Services, Department of ","EARLY OUT POSITION","POTTAWATTAMIE",442
"443","Administrative Services, Department of ","EARLY OUT POSITION","POWESHIEK",443
"444","Administrative Services, Department of ","EARLY OUT POSITION","RINGGOLD",444
"445","Administrative Services, Department of ","EARLY OUT POSITION","SAC",445
"446","Administrative Services, Department of ","EARLY OUT POSITION","SCOTT",446
"447","Administrative Services, Department of ","EARLY OUT POSITION","SIOUX",447
"448","Administrative Services, Department of ","EARLY OUT POSITION","STORY",448
"449","Administrative Services, Department of ","EARLY OUT POSITION","TAMA",449
"450","Administrative Services, Department of ","EARLY OUT POSITION","UNION",450
"451","Administrative Services, Department of ","EARLY OUT POSITION","WAPELLO",451
"452","Administrative Services, Department of ","EARLY OUT POSITION","WARREN",452
"453","Administrative Services, Department of ","EARLY OUT POSITION","WASHINGTON",453
"454","Administrative Services, Department of ","EARLY OUT POSITION","WEBSTER",454
"455","Administrative Services, Department of ","EARLY OUT POSITION","WINNESHIEK",455
"456","Administrative Services, Department of ","EARLY OUT POSITION","WOODBURY",456
"457","Administrative Services, Department of ","EARLY OUT POSITION","WRIGHT",457
"458","Administrative Services, Department of ","ELECTRICIAN","MADISON",458
"459","Administrative Services, Department of ","ELECTRICIAN","MARION",459
"460","Administrative Services, Department of ","ELECTRICIAN","POLK",460
"461","Administrative Services, Department of ","ELECTRICIAN","WARREN",461
"462","Administrative Services, Department of ","ELECTRONIC ENGINEER TECH","POLK",462
"463","Administrative Services, Department of ","ENERGY MANAGEMENT TECHNI","POLK",463
"464","Administrative Services, Department of ","EXEC OFF 1","BOONE",464
"465","Administrative Services, Department of ","EXEC OFF 1","JASPER",465
"466","Administrative Services, Department of ","EXEC OFF 1","POLK",466
"467","Administrative Services, Department of ","EXEC OFF 1","SCOTT",467
"468","Administrative Services, Department of ","EXEC OFF 1","WARREN",468
"469","Administrative Services, Department of ","EXEC OFF 2","",469
"470","Administrative Services, Department of ","EXEC OFF 2","MADISON",470
"471","Administrative Services, Department of ","EXEC OFF 2","POLK",471
"472","Administrative Services, Department of ","EXEC OFF 2","WARREN",472
"473","Administrative Services, Department of ","EXEC OFF 3","DALLAS",473
"474","Administrative Services, Department of ","EXEC OFF 3","MAHASKA",474
"475","Administrative Services, Department of ","EXEC OFF 3","POLK",475
"476","Administrative Services, Department of ","EXEC OFF 3","WARREN",476
"477","Administrative Services, Department of ","EXEC OFF 4","MADISON",477
"478","Administrative Services, Department of ","EXEC OFF 4","POLK",478
"479","Administrative Services, Department of ","EXEC OFF 4","WARREN",479
"480","Administrative Services, Department of ","EXEC SECRETARY","POLK",480
"481","Administrative Services, Department of ","FISCAL & POLICY ANALYST","CLARKE",481
"482","Administrative Services, Department of ","FISCAL & POLICY ANALYST","DALLAS",482
"483","Administrative Services, Department of ","FISCAL & POLICY ANALYST","POLK",483
"484","Administrative Services, Department of ","FISCAL & POLICY ANALYST","WARREN",484
"485","Administrative Services, Department of ","GRAPHIC ARTIST","POLK",485
"486","Administrative Services, Department of ","HR PROFESSIONAL 1","",486
"487","Administrative Services, Department of ","HR PROFESSIONAL 1","CHEROKEE",487
"488","Administrative Services, Department of ","HR PROFESSIONAL 1","DALLAS",488
"489","Administrative Services, Department of ","HR PROFESSIONAL 1","JOHNSON",489
"490","Administrative Services, Department of ","HR PROFESSIONAL 1","POLK",490
"491","Administrative Services, Department of ","HR PROFESSIONAL 1","STORY",491
"492","Administrative Services, Department of ","HR PROFESSIONAL 1","WARREN",492
"493","Administrative Services, Department of ","HR PROFESSIONAL 2","CALHOUN",493
"494","Administrative Services, Department of ","HR PROFESSIONAL 2","DALLAS",494
"495","Administrative Services, Department of ","HR PROFESSIONAL 2","JASPER",495
"496","Administrative Services, Department of ","HR PROFESSIONAL 2","JOHNSON",496
"497","Administrative Services, Department of ","HR PROFESSIONAL 2","MITCHELL",497
"498","Administrative Services, Department of ","HR PROFESSIONAL 2","POLK",498
"499","Administrative Services, Department of ","HR PROFESSIONAL 2","POWESHIEK",499
"500","Administrative Services, Department of ","HR PROFESSIONAL 2","WOODBURY",500
"501","Administrative Services, Department of ","HR PROGRAM COORD","DALLAS",501
"502","Administrative Services, Department of ","HR PROGRAM COORD","POLK",502
"503","Administrative Services, Department of ","HR TECHNICAL ASST","POLK",503
"504","Administrative Services, Department of ","HR TECHNICAL SPEC","DALLAS",504
"505","Administrative Services, Department of ","HR TECHNICAL SPEC","JASPER",505
"506","Administrative Services, Department of ","HR TECHNICAL SPEC","POLK",506
"507","Administrative Services, Department of ","HUMAN RESOURCES ASSOCIAT","POLK",507
"508","Administrative Services, Department of ","HUMAN RESOURCES ASSOCIAT","STORY",508
"509","Administrative Services, Department of ","HUMAN RESOURCES ASSOCIAT","WARREN",509
"510","Administrative Services, Department of ","HUMAN RESOURCES TECHNICA","CLARKE",510
"511","Administrative Services, Department of ","HUMAN RESOURCES TECHNICA","POLK",511
"512","Administrative Services, Department of ","HVAC TECHNICIAN","MADISON",512
"513","Administrative Services, Department of ","HVAC TECHNICIAN","MARION",513
"514","Administrative Services, Department of ","HVAC TECHNICIAN","POLK",514
"515","Administrative Services, Department of ","HVAC TECHNICIAN","WARREN",515
"516","Administrative Services, Department of ","INFO SPECIALIST 2","POLK",516
"517","Administrative Services, Department of ","INFO TECH ADMIN 1","POLK",517
"518","Administrative Services, Department of ","INFO TECH ADMIN 2","POLK",518
"519","Administrative Services, Department of ","INFO TECH ADMIN 3","POLK",519
"520","Administrative Services, Department of ","INFO TECH ADMIN 3","STORY",520
"521","Administrative Services, Department of ","INFO TECH ADMIN 4","LINN",521
"522","Administrative Services, Department of ","INFO TECH ADMIN 4","POLK",522
"523","Administrative Services, Department of ","INFO TECH ADMIN 4","WARREN",523
"524","Administrative Services, Department of ","INFO TECH ENTERPRISE EXP","JASPER",524
"525","Administrative Services, Department of ","INFO TECH ENTERPRISE EXP","POLK",525
"526","Administrative Services, Department of ","INFO TECH SPECIALIST 2","POLK",526
"527","Administrative Services, Department of ","INFO TECH SPECIALIST 3","POLK",527
"528","Administrative Services, Department of ","INFO TECH SPECIALIST 3","STORY",528
"529","Administrative Services, Department of ","INFO TECH SPECIALIST 4","BOONE",529
"530","Administrative Services, Department of ","INFO TECH SPECIALIST 4","JASPER",530
"531","Administrative Services, Department of ","INFO TECH SPECIALIST 4","MARION",531
"532","Administrative Services, Department of ","INFO TECH SPECIALIST 4","POLK",532
"533","Administrative Services, Department of ","INFO TECH SPECIALIST 4","WARREN",533
"534","Administrative Services, Department of ","INFO TECH SPECIALIST 5","",534
"535","Administrative Services, Department of ","INFO TECH SPECIALIST 5","CLARKE",535
"536","Administrative Services, Department of ","INFO TECH SPECIALIST 5","MAHASKA",536
"537","Administrative Services, Department of ","INFO TECH SPECIALIST 5","MARION",537
"538","Administrative Services, Department of ","INFO TECH SPECIALIST 5","POLK",538
"539","Administrative Services, Department of ","INFO TECH SPECIALIST 5","STORY",539
"540","Administrative Services, Department of ","INFO TECH SPECIALIST 5","WARREN",540
"541","Administrative Services, Department of ","INFO TECH SUPPORT WORKER","JASPER",541
"542","Administrative Services, Department of ","INFO TECH SUPPORT WORKER","POLK",542
"543","Administrative Services, Department of ","LAW CLERK","LINN",543
"544","Administrative Services, Department of ","LAW CLERK","POLK",544
"545","Administrative Services, Department of ","LEGISLATIVE EMPLOYEES-FU","WARREN",545
"546","Administrative Services, Department of ","LOCKSMITH","POLK",546
"547","Administrative Services, Department of ","MAIL CLERK 1","POLK",547
"548","Administrative Services, Department of ","MAIL CLERK 2","POLK",548
"549","Administrative Services, Department of ","MAINTENANCE ENGINEER","MARSHALL",549
"550","Administrative Services, Department of ","MAINTENANCE ENGINEER","POLK",550
"551","Administrative Services, Department of ","MAINTENANCE LEADER","POLK",551
"552","Administrative Services, Department of ","MAINTENANCE REPAIRER","MADISON",552
"553","Administrative Services, Department of ","MAINTENANCE REPAIRER","MARSHALL",553
